1	210
1	763
1	780
1	794
1	805
1	869
1	934
1	970
1	974
1	996
2	398
2	449
2	484
2	514
2	696
2	818
2	872
2	881
2	890
2	949
3	83
3	451
3	562
3	566
3	782
3	796
3	908
3	909
3	949
3	991
4	574
4	775
4	784
4	827
4	882
4	887
4	951
4	952
4	978
4	997
5	171
5	375
5	600
5	644
5	826
5	834
5	843
5	867
5	955
5	979
6	547
6	617
6	688
6	740
6	820
6	884
6	904
6	915
6	920
6	969
7	204
7	284
7	456
7	546
7	651
7	663
7	674
7	678
7	962
7	991
8	542
8	649
8	669
8	804
8	829
8	877
8	914
8	920
8	977
8	998
9	57
9	257
9	811
9	846
9	919
9	924
9	944
9	965
9	966
9	995
10	435
10	524
10	544
10	653
10	761
10	786
10	802
10	803
10	844
10	909
11	533
11	664
11	758
11	797
11	841
11	868
11	870
11	943
11	945
11	956
12	68
12	428
12	462
12	524
12	608
12	653
12	680
12	786
12	802
12	803
13	562
13	566
13	716
13	770
13	782
13	796
13	801
13	908
13	918
13	957
14	76
14	230
14	615
14	642
14	770
14	782
14	872
14	890
14	963
14	975
15	233
15	510
15	544
15	653
15	761
15	786
15	802
15	803
15	897
15	956
16	136
16	507
16	591
16	635
16	708
16	868
16	873
16	875
16	943
16	945
17	300
17	576
17	677
17	690
17	691
17	807
17	876
17	923
17	985
17	986
18	26
18	292
18	308
18	345
18	640
18	856
18	927
18	928
18	936
18	980
19	158
19	257
19	541
19	631
19	855
19	859
19	895
19	919
19	935
19	965
20	148
20	540
20	631
20	707
20	741
20	814
20	816
20	817
20	836
20	894
21	429
21	538
21	589
21	688
21	745
21	861
21	904
21	918
21	969
21	975
22	232
22	277
22	514
22	533
22	903
22	950
22	951
22	971
22	978
22	994
23	109
23	200
23	315
23	351
23	395
23	553
23	767
23	899
23	954
23	998
24	517
24	642
24	682
24	705
24	795
24	813
24	820
24	915
24	948
24	969
25	223
25	439
25	548
25	680
25	775
25	960
25	961
25	985
25	988
25	993
26	18
26	313
26	599
26	752
26	754
26	902
26	927
26	928
26	980
26	997
27	102
27	288
27	315
27	405
27	682
27	766
27	861
27	948
27	969
27	975
28	454
28	642
28	705
28	729
28	776
28	820
28	850
28	948
28	971
28	975
29	78
29	277
29	302
29	621
29	840
29	857
29	943
29	952
29	978
29	997
30	310
30	473
30	740
30	854
30	912
30	922
30	933
30	968
30	973
30	1000
31	230
31	444
31	494
31	571
31	722
31	730
31	796
31	908
31	963
31	999
32	90
32	304
32	337
32	370
32	772
32	794
32	810
32	900
32	934
32	996
33	216
33	414
33	461
33	611
33	677
33	708
33	841
33	902
33	945
33	956
34	170
34	364
34	415
34	490
34	606
34	651
34	739
34	828
34	958
34	993
35	276
35	330
35	639
35	711
35	865
35	871
35	873
35	878
35	887
35	990
36	75
36	124
36	165
36	489
36	736
36	787
36	789
36	809
36	837
36	984
37	384
37	483
37	678
37	714
37	842
37	859
37	910
37	958
37	964
37	991
38	119
38	293
38	443
38	757
38	865
38	873
38	878
38	887
38	939
38	991
39	83
39	386
39	615
39	638
39	737
39	746
39	801
39	844
39	921
39	963
40	265
40	651
40	733
40	755
40	799
40	951
40	960
40	971
40	985
40	997
41	433
41	724
41	768
41	782
41	866
41	942
41	954
41	987
41	998
41	999
42	411
42	435
42	524
42	653
42	761
42	786
42	802
42	803
42	949
42	978
43	187
43	245
43	504
43	515
43	581
43	634
43	665
43	687
43	778
43	999
44	420
44	781
44	791
44	797
44	845
44	931
44	938
44	962
44	988
44	992
45	272
45	545
45	617
45	712
45	729
45	884
45	908
45	918
45	969
45	975
46	318
